ticket_id,ticket_type,subject,description,customer_age,channel,sentiment,urgency_score,impact_score,priority
7632,Critical billing issue,Critical system failure,The service has completely stopped working and is blocking critical operations.,47,Email,negative,4,3,Critical
6166,Technical issue,Payment problem,The device is not working and I need immediate assistance.,67,Social media,negative,3,3,High
6603,Security issue,Critical system failure,This is an emergency. The system has completely failed and I cannot continue my work.,44,Email,negative,4,3,Critical
5488,Account problem,Urgent product problem,My product has stopped working and I need a replacement as soon as possible. Please help me resolve this issue.,69,Phone,negative,3,3,High
1384,General question,Need some information,Can you provide some details about this product?,54,Phone,neutral,0,0,Low
18,Product inquiry,Need some information,Could you explain the available options?,28,Chat,neutral,1,0,Low
7851,Security issue,Urgent payment issue,There appears to be a serious payment problem affecting multiple transactions. Please help me resolve this issue.,39,Email,negative,4,3,Critical
5010,Account problem,Payment problem,I was charged incorrectly and need the issue resolved quickly. Please help me resolve this issue.,21,Phone,negative,2,2,High
3443,Billing inquiry,Shipping question,My delivery has a problem and I need assistance.,39,Phone,neutral,2,1,Medium
462,General question,Product information,I would like more information about the product.,29,Email,positive,0,0,Low
7546,Security issue,Security concern,The service has completely stopped working and is blocking critical operations.,25,Phone,negative,4,4,Critical
4161,Billing inquiry,Refund question,I requested a refund and would like an update.,36,Chat,negative,1,2,Medium
5228,Shipping issue,Urgent product problem,My product has stopped working and I need a replacement as soon as possible.,38,Email,negative,3,3,High
909,Product inquiry,Need some information,I have a general question and would like some clarification.,39,Chat,positive,0,1,Low
4129,Refund request,Billing problem,My delivery has a problem and I need assistance.,48,Email,neutral,2,2,Medium
8397,Critical account issue,Critical system failure,There appears to be a serious payment problem affecting multiple transactions. Please help me resolve this issue.,21,Email,negative,3,4,Critical
5348,Technical issue,Account access issue,My order is significantly delayed and I need help urgently.,50,Phone,negative,3,3,High
2550,Shipping inquiry,Product issue,My delivery has a problem and I need assistance. Please help me resolve this issue.,49,Email,neutral,2,1,Medium
7016,Critical account issue,Critical system failure,The service has completely stopped working and is blocking critical operations.,30,Social media,negative,4,3,Critical
2865,Shipping inquiry,Product issue,I requested a refund and would like an update.,26,Chat,neutral,2,2,Medium
5839,Shipping issue,Urgent product problem,My product has stopped working and I need a replacement as soon as possible.,53,Chat,negative,3,2,High
6766,Critical technical issue,Urgent payment issue,There appears to be a serious payment problem affecting multiple transactions.,30,Phone,negative,3,3,Critical
5072,Shipping issue,Account access issue,I was charged incorrectly and need the issue resolved quickly.,36,Chat,negative,2,2,High
933,General question,Question about product,Can you provide some details about this product?,58,Phone,neutral,0,0,Low
6676,Critical billing issue,Urgent payment issue,There appears to be a serious payment problem affecting multiple transactions.,42,Social media,negative,4,3,Critical
6689,Critical account issue,Security concern,The service has completely stopped working and is blocking critical operations.,47,Chat,negative,4,4,Critical
8336,Security issue,Critical account problem,The service has completely stopped working and is blocking critical operations.,39,Social media,negative,3,3,Critical
7339,Security issue,Critical system failure,There appears to be a serious payment problem affecting multiple transactions.,40,Chat,negative,4,4,Critical
5991,Account problem,Payment problem,I cannot access my account and this is affecting my work. Please help me resolve this issue.,59,Phone,negative,2,2,High
7464,Critical technical issue,Critical account problem,The service has completely stopped working and is blocking critical operations.,25,Chat,negative,3,4,Critical
3917,Billing inquiry,Product issue,My delivery has a problem and I need assistance.,26,Phone,neutral,1,1,Medium
5091,Billing issue,Payment problem,I cannot access my account and this is affecting my work. Please help me resolve this issue.,39,Phone,negative,2,3,High
1567,Product inquiry,Need some information,I have a general question and would like some clarification.,63,Social media,positive,0,0,Low
4924,Account problem,Urgent product problem,I was charged incorrectly and need the issue resolved quickly. Please help me resolve this issue.,61,Social media,negative,2,3,High
812,General question,Product information,Can you provide some details about this product?,58,Chat,neutral,1,0,Low
4447,Account problem,Urgent product problem,My product has stopped working and I need a replacement as soon as possible.,59,Email,negative,2,3,High
859,General question,Need some information,Could you explain the available options?,25,Social media,neutral,1,1,Low
7056,Critical account issue,Critical account problem,I have a serious security concern and need immediate assistance.,25,Email,negative,3,4,Critical
8337,Critical technical issue,Security concern,I cannot access critical business data and need this resolved immediately.,21,Chat,negative,3,3,Critical
5193,Technical issue,Payment problem,I was charged incorrectly and need the issue resolved quickly.,50,Social media,negative,3,3,High
2664,Refund request,Refund question,I am having a problem with my product and need assistance.,55,Chat,neutral,2,1,Medium
4072,Refund request,Shipping question,There is an issue with my recent order and I need help.,70,Chat,negative,1,1,Medium
4103,Product issue,Refund question,I have a billing issue that needs to be checked.,55,Chat,negative,1,1,Medium
3115,Refund request,Product issue,My delivery has a problem and I need assistance.,61,Social media,neutral,1,2,Medium
6783,Critical billing issue,Critical system failure,This is an emergency. The system has completely failed and I cannot continue my work.,40,Social media,negative,4,4,Critical
5154,Account problem,Delivery problem,My order is significantly delayed and I need help urgently. Please help me resolve this issue.,70,Email,negative,3,3,High
6448,Critical account issue,Critical system failure,This is an emergency. The system has completely failed and I cannot continue my work.,38,Social media,negative,3,4,Critical
3721,Shipping inquiry,Refund question,I requested a refund and would like an update.,49,Chat,negative,2,1,Medium
7071,Critical account issue,Urgent payment issue,This is an emergency. The system has completely failed and I cannot continue my work.,19,Phone,negative,4,3,Critical
1979,General question,Product information,Can you provide some details about this product? Please help me resolve this issue.,33,Social media,neutral,0,0,Low
983,Product inquiry,Question about product,I have a general question and would like some clarification. Please help me resolve this issue.,31,Social media,neutral,1,1,Low
1872,Information request,Need some information,Could you explain the available options?,38,Social media,neutral,0,0,Low
5982,Billing issue,Payment problem,I cannot access my account and this is affecting my work.,50,Social media,negative,3,3,High
350,General question,Question about product,I would like more information about the product.,27,Chat,neutral,0,0,Low
6688,Critical account issue,Urgent payment issue,I have a serious security concern and need immediate assistance. Please help me resolve this issue.,57,Phone,negative,4,3,Critical
7832,Critical technical issue,Critical system failure,I have a serious security concern and need immediate assistance. Please help me resolve this issue.,26,Email,negative,4,4,Critical
626,Product inquiry,Need some information,I have a general question and would like some clarification.,62,Phone,neutral,0,1,Low
4904,Account problem,Delivery problem,The device is not working and I need immediate assistance.,27,Social media,negative,2,3,High
5836,Billing issue,Payment problem,I cannot access my account and this is affecting my work.,24,Chat,negative,2,2,High
2413,Refund request,Product issue,There is an issue with my recent order and I need help.,48,Social media,negative,1,2,Medium
4744,Billing issue,Payment problem,My product has stopped working and I need a replacement as soon as possible.,21,Chat,negative,2,3,High
6126,Shipping issue,Urgent product problem,I cannot access my account and this is affecting my work.,39,Email,negative,3,2,High
4056,Billing inquiry,Shipping question,I have a billing issue that needs to be checked.,35,Phone,negative,2,1,Medium
7360,Security issue,Security concern,I cannot access critical business data and need this resolved immediately.,30,Social media,negative,4,4,Critical
3480,Billing inquiry,Refund question,I requested a refund and would like an update. Please help me resolve this issue.,21,Chat,negative,2,2,Medium
7231,Critical billing issue,Critical system failure,I cannot access critical business data and need this resolved immediately.,45,Chat,negative,4,3,Critical
1594,Product inquiry,Product information,Can you provide some details about this product?,48,Social media,positive,0,0,Low
5591,Account problem,Delivery problem,My order is significantly delayed and I need help urgently.,69,Phone,negative,2,3,High
2488,Shipping inquiry,Shipping question,There is an issue with my recent order and I need help. Please help me resolve this issue.,22,Social media,negative,2,2,Medium
3816,Refund request,Billing problem,I requested a refund and would like an update.,19,Chat,negative,2,2,Medium
2843,Product issue,Product issue,I am having a problem with my product and need assistance.,24,Chat,neutral,1,1,Medium
6861,Security issue,Critical account problem,There appears to be a serious payment problem affecting multiple transactions.,40,Chat,negative,3,3,Critical
1700,General question,Need some information,I have a general question and would like some clarification.,52,Chat,positive,1,1,Low
7153,Security issue,Security concern,I have a serious security concern and need immediate assistance. Please help me resolve this issue.,59,Email,negative,3,3,Critical
8293,Critical billing issue,Critical account problem,I have a serious security concern and need immediate assistance.,35,Chat,negative,4,3,Critical
1663,Product inquiry,Need some information,I would like more information about the product.,45,Social media,positive,0,0,Low
430,Product inquiry,Need some information,I would like more information about the product.,68,Email,positive,1,0,Low
1283,Information request,Question about product,I have a general question and would like some clarification.,34,Email,neutral,1,1,Low
7486,Critical account issue,Critical account problem,I cannot access critical business data and need this resolved immediately.,27,Social media,negative,4,4,Critical
240,General question,Product information,Could you explain the available options?,63,Chat,positive,0,0,Low
3393,Billing inquiry,Billing problem,There is an issue with my recent order and I need help.,37,Email,neutral,2,2,Medium
4105,Refund request,Billing problem,I am having a problem with my product and need assistance.,48,Email,negative,2,1,Medium
8390,Critical billing issue,Critical system failure,This is an emergency. The system has completely failed and I cannot continue my work.,69,Email,negative,4,4,Critical
4648,Account problem,Payment problem,My product has stopped working and I need a replacement as soon as possible.,54,Chat,negative,2,2,High
8229,Critical technical issue,Urgent payment issue,This is an emergency. The system has completely failed and I cannot continue my work.,46,Chat,negative,4,4,Critical
971,Information request,Product information,Can you provide some details about this product?,44,Email,positive,0,1,Low
7030,Critical technical issue,Security concern,This is an emergency. The system has completely failed and I cannot continue my work.,30,Email,negative,4,4,Critical
2940,Product issue,Refund question,I requested a refund and would like an update.,38,Email,neutral,1,2,Medium
3986,Refund request,Product issue,There is an issue with my recent order and I need help.,26,Phone,negative,1,1,Medium
1833,Information request,Question about product,I have a general question and would like some clarification.,53,Phone,positive,1,0,Low
4190,Refund request,Shipping question,I requested a refund and would like an update.,60,Phone,negative,1,1,Medium
4939,Account problem,Account access issue,I cannot access my account and this is affecting my work.,38,Email,negative,3,2,High
7182,Security issue,Urgent payment issue,This is an emergency. The system has completely failed and I cannot continue my work.,68,Email,negative,4,3,Critical
4086,Refund request,Shipping question,I requested a refund and would like an update.,63,Email,neutral,2,2,Medium
5437,Account problem,Payment problem,My product has stopped working and I need a replacement as soon as possible.,41,Social media,negative,2,2,High
1484,Product inquiry,Product information,I would like more information about the product. Please help me resolve this issue.,27,Phone,neutral,1,0,Low
6965,Critical account issue,Critical system failure,This is an emergency. The system has completely failed and I cannot continue my work.,39,Chat,negative,3,4,Critical
4908,Account problem,Delivery problem,My order is significantly delayed and I need help urgently.,33,Phone,negative,2,3,High
488,Information request,Question about product,Could you explain the available options?,27,Chat,neutral,1,0,Low
5832,Billing issue,Payment problem,I was charged incorrectly and need the issue resolved quickly.,46,Social media,negative,2,2,High
8135,Critical billing issue,Urgent payment issue,I have a serious security concern and need immediate assistance. Please help me resolve this issue.,58,Phone,negative,4,4,Critical
3784,Billing inquiry,Product issue,My delivery has a problem and I need assistance. Please help me resolve this issue.,20,Social media,neutral,1,2,Medium
5868,Billing issue,Delivery problem,I cannot access my account and this is affecting my work.,54,Email,negative,2,2,High
3397,Shipping inquiry,Billing problem,I have a billing issue that needs to be checked.,59,Social media,neutral,2,1,Medium
6358,Critical account issue,Urgent payment issue,The service has completely stopped working and is blocking critical operations.,26,Chat,negative,3,3,Critical
1196,Product inquiry,Need some information,I have a general question and would like some clarification.,52,Email,neutral,0,0,Low
3659,Product issue,Shipping question,I am having a problem with my product and need assistance.,25,Chat,neutral,2,2,Medium
7286,Security issue,Security concern,I cannot access critical business data and need this resolved immediately.,23,Phone,negative,3,3,Critical
2719,Product issue,Shipping question,There is an issue with my recent order and I need help.,67,Phone,negative,2,2,Medium
1794,Product inquiry,Product information,I have a general question and would like some clarification. Please help me resolve this issue.,60,Chat,positive,0,0,Low
5295,Shipping issue,Urgent product problem,I cannot access my account and this is affecting my work.,65,Phone,negative,2,2,High
519,Product inquiry,Need some information,I have a general question and would like some clarification.,70,Chat,positive,0,1,Low
1054,Information request,Product information,Could you explain the available options? Please help me resolve this issue.,58,Email,neutral,0,1,Low
7334,Critical billing issue,Security concern,I cannot access critical business data and need this resolved immediately.,24,Phone,negative,3,4,Critical
3412,Shipping inquiry,Shipping question,I have a billing issue that needs to be checked.,18,Email,neutral,1,2,Medium
4315,Shipping issue,Urgent product problem,My product has stopped working and I need a replacement as soon as possible.,40,Social media,negative,3,2,High
6212,Account problem,Payment problem,The device is not working and I need immediate assistance.,28,Chat,negative,3,2,High
1143,Information request,Question about product,I would like more information about the product.,36,Social media,neutral,1,0,Low
2375,Billing inquiry,Shipping question,I am having a problem with my product and need assistance.,40,Social media,negative,1,2,Medium
4591,Technical issue,Delivery problem,My product has stopped working and I need a replacement as soon as possible.,27,Phone,negative,2,2,High
5663,Billing issue,Payment problem,I cannot access my account and this is affecting my work.,45,Email,negative,3,3,High
5867,Shipping issue,Payment problem,The device is not working and I need immediate assistance.,31,Social media,negative,3,3,High
2989,Shipping inquiry,Refund question,I requested a refund and would like an update. Please help me resolve this issue.,26,Email,neutral,2,1,Medium
2319,Refund request,Shipping question,I am having a problem with my product and need assistance.,65,Chat,neutral,2,2,Medium
2358,Refund request,Product issue,My delivery has a problem and I need assistance.,55,Email,negative,2,2,Medium
677,General question,Need some information,Can you provide some details about this product?,69,Email,neutral,1,1,Low
1958,General question,Product information,Can you provide some details about this product?,18,Email,positive,0,0,Low
5694,Technical issue,Urgent product problem,I was charged incorrectly and need the issue resolved quickly.,45,Social media,negative,3,2,High
2615,Product issue,Shipping question,I have a billing issue that needs to be checked.,42,Chat,neutral,1,2,Medium
2578,Shipping inquiry,Product issue,I have a billing issue that needs to be checked.,53,Social media,neutral,1,1,Medium
2058,Information request,Need some information,I have a general question and would like some clarification.,56,Email,neutral,1,0,Low
880,Product inquiry,Product information,I would like more information about the product.,54,Email,positive,1,1,Low
234,Product inquiry,Product information,I have a general question and would like some clarification.,24,Chat,positive,1,0,Low
2437,Billing inquiry,Shipping question,There is an issue with my recent order and I need help.,40,Phone,negative,2,2,Medium
6986,Critical account issue,Security concern,There appears to be a serious payment problem affecting multiple transactions. Please help me resolve this issue.,55,Phone,negative,3,3,Critical
5197,Shipping issue,Payment problem,I cannot access my account and this is affecting my work.,48,Email,negative,3,3,High
6021,Account problem,Delivery problem,The device is not working and I need immediate assistance.,66,Email,negative,2,3,High
6500,Critical technical issue,Critical account problem,The service has completely stopped working and is blocking critical operations.,32,Email,negative,4,4,Critical
7752,Critical billing issue,Critical account problem,I cannot access critical business data and need this resolved immediately.,70,Chat,negative,4,4,Critical
1953,General question,Product information,Could you explain the available options?,51,Email,neutral,1,0,Low
4575,Billing issue,Urgent product problem,My order is significantly delayed and I need help urgently.,55,Email,negative,3,2,High
1350,Information request,Question about product,I have a general question and would like some clarification. Please help me resolve this issue.,57,Social media,neutral,0,0,Low
4295,Account problem,Urgent product problem,I cannot access my account and this is affecting my work. Please help me resolve this issue.,27,Social media,negative,3,2,High
867,Information request,Need some information,I would like more information about the product.,46,Social media,neutral,0,1,Low
6286,Technical issue,Account access issue,My product has stopped working and I need a replacement as soon as possible.,41,Social media,negative,2,2,High
2599,Refund request,Billing problem,I am having a problem with my product and need assistance.,35,Social media,negative,1,1,Medium
3870,Shipping inquiry,Shipping question,I requested a refund and would like an update.,23,Chat,negative,1,2,Medium
4035,Shipping inquiry,Billing problem,I have a billing issue that needs to be checked.,25,Phone,neutral,1,1,Medium
8206,Critical technical issue,Critical account problem,There appears to be a serious payment problem affecting multiple transactions.,20,Email,negative,4,4,Critical
6131,Billing issue,Account access issue,The device is not working and I need immediate assistance.,30,Phone,negative,3,2,High
2274,Billing inquiry,Refund question,My delivery has a problem and I need assistance.,22,Phone,negative,2,1,Medium
94,General question,Question about product,I have a general question and would like some clarification.,24,Phone,positive,1,0,Low
7895,Critical billing issue,Critical system failure,This is an emergency. The system has completely failed and I cannot continue my work.,47,Email,negative,3,4,Critical
9,General question,Need some information,Can you provide some details about this product?,67,Email,positive,0,1,Low
6427,Critical account issue,Urgent payment issue,I cannot access critical business data and need this resolved immediately. Please help me resolve this issue.,29,Chat,negative,4,3,Critical
2863,Shipping inquiry,Refund question,There is an issue with my recent order and I need help.,26,Email,neutral,2,1,Medium
6947,Security issue,Security concern,I have a serious security concern and need immediate assistance.,24,Email,negative,4,3,Critical
4360,Shipping issue,Payment problem,My order is significantly delayed and I need help urgently.,49,Phone,negative,2,3,High
1721,Information request,Need some information,Could you explain the available options?,43,Phone,neutral,1,0,Low
7667,Critical account issue,Critical system failure,I have a serious security concern and need immediate assistance.,63,Social media,negative,4,4,Critical
2273,Product issue,Billing problem,I have a billing issue that needs to be checked. Please help me resolve this issue.,41,Phone,negative,2,2,Medium
264,General question,Question about product,I would like more information about the product.,32,Phone,positive,1,0,Low
354,Information request,Product information,Can you provide some details about this product? Please help me resolve this issue.,46,Social media,neutral,0,0,Low
3686,Shipping inquiry,Shipping question,My delivery has a problem and I need assistance. Please help me resolve this issue.,56,Chat,negative,1,2,Medium
2253,Shipping inquiry,Refund question,I requested a refund and would like an update.,51,Social media,neutral,1,1,Medium
6795,Critical billing issue,Critical account problem,I have a serious security concern and need immediate assistance.,55,Social media,negative,4,3,Critical
3132,Shipping inquiry,Refund question,I requested a refund and would like an update.,68,Social media,neutral,1,1,Medium
4241,Technical issue,Account access issue,My order is significantly delayed and I need help urgently.,43,Email,negative,2,3,High
1323,General question,Question about product,I would like more information about the product.,43,Phone,neutral,1,0,Low
1702,Information request,Question about product,I have a general question and would like some clarification.,56,Phone,positive,1,0,Low
6055,Account problem,Payment problem,I cannot access my account and this is affecting my work.,32,Phone,negative,3,3,High
7551,Critical technical issue,Critical system failure,I cannot access critical business data and need this resolved immediately.,66,Phone,negative,4,4,Critical
3239,Shipping inquiry,Refund question,I requested a refund and would like an update. Please help me resolve this issue.,45,Social media,negative,1,1,Medium
6434,Security issue,Urgent payment issue,This is an emergency. The system has completely failed and I cannot continue my work.,60,Chat,negative,4,4,Critical
5493,Account problem,Account access issue,My order is significantly delayed and I need help urgently. Please help me resolve this issue.,48,Phone,negative,2,2,High
292,Information request,Product information,Could you explain the available options?,62,Email,positive,0,0,Low
6848,Security issue,Critical system failure,There appears to be a serious payment problem affecting multiple transactions. Please help me resolve this issue.,18,Social media,negative,4,3,Critical
4636,Shipping issue,Account access issue,My order is significantly delayed and I need help urgently.,59,Email,negative,2,3,High
4499,Technical issue,Urgent product problem,My order is significantly delayed and I need help urgently.,38,Chat,negative,2,2,High
2795,Refund request,Billing problem,My delivery has a problem and I need assistance.,62,Social media,neutral,2,2,Medium
6208,Billing issue,Account access issue,The device is not working and I need immediate assistance.,52,Phone,negative,3,3,High
7069,Security issue,Security concern,The service has completely stopped working and is blocking critical operations.,59,Email,negative,4,4,Critical
4627,Technical issue,Urgent product problem,The device is not working and I need immediate assistance.,35,Email,negative,3,2,High
2846,Billing inquiry,Product issue,I requested a refund and would like an update.,40,Social media,neutral,1,1,Medium
1769,Product inquiry,Product information,I would like more information about the product.,39,Chat,positive,0,0,Low
648,Product inquiry,Product information,I would like more information about the product.,61,Email,positive,1,1,Low
4025,Refund request,Billing problem,I am having a problem with my product and need assistance.,32,Chat,neutral,2,1,Medium
5679,Account problem,Account access issue,My order is significantly delayed and I need help urgently.,22,Phone,negative,3,2,High
6026,Technical issue,Payment problem,The device is not working and I need immediate assistance.,26,Phone,negative,2,3,High
1920,Product inquiry,Product information,I would like more information about the product.,70,Phone,neutral,0,0,Low
6257,Account problem,Payment problem,The device is not working and I need immediate assistance.,64,Email,negative,3,3,High
4285,Technical issue,Delivery problem,My order is significantly delayed and I need help urgently. Please help me resolve this issue.,60,Chat,negative,2,2,High
6644,Critical account issue,Critical account problem,The service has completely stopped working and is blocking critical operations.,29,Chat,negative,3,3,Critical
2376,Billing inquiry,Product issue,I am having a problem with my product and need assistance.,52,Chat,negative,1,1,Medium
1085,Information request,Need some information,I have a general question and would like some clarification.,48,Chat,neutral,0,0,Low
4023,Product issue,Refund question,My delivery has a problem and I need assistance.,46,Phone,negative,1,2,Medium
2727,Refund request,Product issue,I requested a refund and would like an update.,38,Chat,negative,2,2,Medium
1401,General question,Question about product,I have a general question and would like some clarification.,19,Chat,positive,0,1,Low
5673,Billing issue,Urgent product problem,The device is not working and I need immediate assistance.,33,Chat,negative,2,3,High
4741,Technical issue,Payment problem,My product has stopped working and I need a replacement as soon as possible.,53,Email,negative,2,2,High
4728,Technical issue,Urgent product problem,I was charged incorrectly and need the issue resolved quickly.,30,Email,negative,2,3,High
3133,Billing inquiry,Refund question,I requested a refund and would like an update.,63,Email,neutral,2,1,Medium
4562,Account problem,Urgent product problem,I was charged incorrectly and need the issue resolved quickly. Please help me resolve this issue.,63,Phone,negative,2,2,High
4483,Shipping issue,Urgent product problem,My order is significantly delayed and I need help urgently.,59,Email,negative,3,3,High
6550,Critical billing issue,Critical system failure,The service has completely stopped working and is blocking critical operations. Please help me resolve this issue.,24,Social media,negative,3,3,Critical
2322,Refund request,Refund question,I requested a refund and would like an update.,50,Phone,negative,2,2,Medium
7821,Security issue,Security concern,I have a serious security concern and need immediate assistance.,31,Social media,negative,4,3,Critical
8142,Security issue,Urgent payment issue,This is an emergency. The system has completely failed and I cannot continue my work.,46,Social media,negative,3,3,Critical
6743,Critical account issue,Security concern,This is an emergency. The system has completely failed and I cannot continue my work.,51,Social media,negative,3,3,Critical
5608,Billing issue,Account access issue,My order is significantly delayed and I need help urgently.,30,Chat,negative,3,2,High
4240,Account problem,Account access issue,The device is not working and I need immediate assistance.,30,Phone,negative,3,2,High
8088,Critical account issue,Security concern,I have a serious security concern and need immediate assistance.,67,Social media,negative,4,3,Critical
5716,Technical issue,Account access issue,I cannot access my account and this is affecting my work.,47,Social media,negative,2,2,High
5872,Account problem,Urgent product problem,I cannot access my account and this is affecting my work.,68,Phone,negative,2,3,High
8011,Critical billing issue,Urgent payment issue,I have a serious security concern and need immediate assistance.,47,Chat,negative,4,4,Critical
3401,Shipping inquiry,Billing problem,I requested a refund and would like an update.,66,Chat,neutral,1,1,Medium
8162,Critical account issue,Critical account problem,I have a serious security concern and need immediate assistance.,47,Phone,negative,4,3,Critical
8324,Critical billing issue,Security concern,I have a serious security concern and need immediate assistance.,38,Chat,negative,4,3,Critical
8182,Critical technical issue,Urgent payment issue,The service has completely stopped working and is blocking critical operations.,60,Phone,negative,3,4,Critical
6092,Shipping issue,Delivery problem,My order is significantly delayed and I need help urgently.,48,Email,negative,2,2,High
7098,Critical technical issue,Critical system failure,The service has completely stopped working and is blocking critical operations. Please help me resolve this issue.,52,Email,negative,3,4,Critical
587,Product inquiry,Need some information,Could you explain the available options?,66,Email,neutral,1,0,Low
7589,Critical account issue,Security concern,The service has completely stopped working and is blocking critical operations.,21,Email,negative,4,3,Critical
6085,Shipping issue,Payment problem,The device is not working and I need immediate assistance.,68,Phone,negative,3,3,High
6629,Critical account issue,Critical system failure,There appears to be a serious payment problem affecting multiple transactions.,63,Chat,negative,3,4,Critical
